Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 11, 2021",$0.00005034,$0.00005792,$0.00004865,$0.00005664,"$5,753,844,727","$31,099,397,161"
"Nov 10, 2021",$0.00005484,$0.00005518,$0.00004604,$0.00005048,"$4,318,757,158","$27,718,901,545"
"Nov 09, 2021",$0.00005518,$0.00005834,$0.00005364,$0.00005487,"$3,142,625,649","$30,129,935,015"
"Nov 08, 2021",$0.00005698,$0.00005903,$0.00005306,$0.00005527,"$4,496,482,335","$30,350,374,972"
"Nov 07, 2021",$0.00005872,$0.00005958,$0.00005611,$0.00005689,"$3,123,242,451","$31,236,713,864"
"Nov 06, 2021",$0.00006266,$0.00006313,$0.00005514,$0.00005856,"$6,445,477,874","$32,154,139,228"
"Nov 05, 2021",$0.00004944,$0.00006541,$0.00004551,$0.00006245,"$12,401,211,699","$34,292,144,667"
"Nov 04, 2021",$0.0000551,$0.00006092,$0.0000434,$0.00004937,"$11,486,664,527","$27,110,472,216"
"Nov 03, 2021",$0.00006916,$0.00006916,$0.00005325,$0.00005515,"$6,495,261,244","$30,284,912,499"
"Nov 02, 2021",$0.00007157,$0.00007295,$0.00006673,$0.00006892,"$5,316,969,434","$37,845,787,120"
"Nov 01, 2021",$0.00006708,$0.00007488,$0.00006593,$0.00007167,"$8,120,747,918","$39,352,018,192"
"Oct 31, 2021",$0.00006541,$0.00006955,$0.0000587,$0.00006724,"$7,990,702,699","$36,919,669,979"
"Oct 30, 2021",$0.00007489,$0.00007784,$0.00006218,$0.00006506,"$8,093,183,339","$35,725,281,817"
"Oct 29, 2021",$0.00006886,$0.00007705,$0.000061,$0.00007482,"$14,287,074,318","$41,083,235,078"
"Oct 28, 2021",$0.00007924,$0.00008845,$0.00005731,$0.00006847,"$32,835,212,339","$37,597,635,459"
"Oct 27, 2021",$0.00004795,$0.00008685,$0.00004668,$0.00008,"$39,053,846,018","$31,584,857,463"
"Oct 26, 2021",$0.00004223,$0.00004948,$0.00004055,$0.0000478,"$11,176,750,625","$18,873,201,369"
